,ARTICULOS,MAYORISTA,MINORISTA,STOCK,proveedor,margen
,SHAMPOO SOLIDO 85GS,275,350,,SHIRI,27.27%
,ACONDICIONADOR SOLIDO 65GS,360,470,,SHIRI,30.56%
,JABON 90GS,120,140,,SHIRI,16.67%
,DESODORANTE,230,320,,SHIRI,39.13%
,PASTA DE DIENTE 50GS,190,280,,SHIRI,47.37%
,CEPILLO DE DIENTES,120,160,,SHIRI,33.33%
,AGUA ROSAS 100ML,140,200,,SHIRI,42.86%
,ACEITE DE COCO 250ML,240,300,,SHIRI,25.00%
,ACEITE DE ALMENDRAS 250ML,275,340,,SHIRI,23.64%
,CREMA KARITE 0 AC.COCO 100GR,290,365,,SHIRI,25.86%
,CREMA AC.ALMENDRA  0 JAZMIN 100GS,320,410,,SHIRI,28.13%
,JABONERA DE MADERA,210,250,,SHIRI,19.05%
,ESMALTES,130,160,,SHIRI,23.08%
,PEINES CHICOS,230,260,,SHIRI,13.04%
,PEINES GRANDES,300,330,,SHIRI,10.00%
,ESPONJA VEGETAL,80,110,,SHIRI,37.50%
,ESPONJA MANOPLA,110,130,,SHIRI,18.18%
,4 PROTECTORES DIARIOS C7U,660,200,,SHIRI,5.30%
,4 DESMAQUILLANTES,210,300,,SHIRI,42.86%
,4 PROTECTORES MAMARIOS,660,760,,SHIRI,15.15%
,COPITA MAGGACUP,1090,1280,,SHIRI,17.43%
,"HISOPOS,100 UNIDADES",145,165,,SHIRI,13.79%
,ROLLO DE JADE,690,820,,SHIRI,18.84%
,RASURADORA 0 6 FILOS,560,680,,SHIRI,21.43%
,SET ECO CUBIERTOS,300,390,,SHIRI,30.00%
,SORBETE ALUMINIO 0 LIMPIADOR,70,90,,SHIRI,28.57%
,Desodorante env. vidrio (Lavanda o Mix Floral) 150 grs NVA FORM,332,455,,SENTIDA BOTANICA,37.05%
,Pasta Dental  env. vidrio (Eucalipto o Citrica) 150 grs NVA FORM,332,455,,SENTIDA BOTANICA,37.05%
,Cepillos Meraki,183,250,1,SENTIDA BOTANICA,36.61%
,Shampoo Seco 100 grs ,402,550,1,SENTIDA BOTANICA,36.82%
,Shampoo Anticaspa/Graso 100 grs ,402,550,1,SENTIDA BOTANICA,36.82%
,Shampoo Equilibrado 100 grs ,402,550,2,SENTIDA BOTANICA,36.82%
,Shampoo Fortalecedor 100 grs ,402,550,,SENTIDA BOTANICA,36.82%
,Acondicionador 100 grs ,464,635,2,SENTIDA BOTANICA,36.85%
,Pack 30 JABONES Cortesía Frag Manz/f blancas 15 grs,1518,2080,,SENTIDA BOTANICA,37.02%
,Pack 30 SHAMPOO Cortesía Frag Equilibrado 15 grs,1880,2575,,SENTIDA BOTANICA,36.97%
